Swiss Stats Map Explorer; ; ; 
Geografisches Bezugssystem: Kantone 01.01.2022; ; ; 
Identifikator;Bezeichnung;Modal Split der Pendler - Öffentlicher Verkehr  2020-2022;Ständige Wohnbevölkerung 2024
1;Zürich;43.2;1620020
10;Freiburg;18.6;346674
11;Solothurn;19.2;289792
12;Basel-Stadt;42.6;201384
13;Basel-Landschaft;32.6;301323
14;Schaffhausen;26.7;88667
15;Appenzell Ausserrhoden;18.6;56705
16;Appenzell Innerrhoden;N/A;16733
17;St. Gallen;20.4;540036
18;Graubünden;17.8;206138
19;Aargau;22.6;735808
2;Bern;27.6;1071216
20;Thurgau;15.6;299509
21;Tessin;18;358903
22;Waadt;32.1;855106
23;Wallis;14.4;371288
24;Neuenburg;24.6;179518
25;Genf;41.7;531102
26;Jura;14;74840
3;Luzern;22.7;437944
4;Uri;10;38275
5;Schwyz;18.1;168931
6;Obwalden;12.7;39662
7;Nidwalden;15.4;45345
8;Glarus;15.6;42371
9;Zug;29.1;133739
