Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Kantone 01.01.2022; ; 
Identifikator;Bezeichnung;Ständige Wohnbevölkerung 2023
1;Zürich;1605508
10;Freiburg;341537
11;Solothurn;286844
12;Basel-Stadt;200031
13;Basel-Landschaft;298837
14;Schaffhausen;87111
15;Appenzell Ausserrhoden;56495
16;Appenzell Innerrhoden;16585
17;St. Gallen;535114
18;Graubünden;204888
19;Aargau;726894
2;Bern;1063533
20;Thurgau;295220
21;Tessin;357720
22;Waadt;845870
23;Wallis;365844
24;Neuenburg;178291
25;Genf;524410
26;Jura;74548
3;Luzern;432744
4;Uri;37931
5;Schwyz;167403
6;Obwalden;39272
7;Nidwalden;45016
8;Glarus;42056
9;Zug;132556
